time,TE_1003,q3,q1,slope,iqr,diff,temp,label
2019-06-23 23:10:00,-3.3345600000000104,-2.614169166666654,-3.362924999999997,0.00018660917689502013,0.7487558333333428,0.202067499999987,-3.3345600000000104,0.0
2019-06-23 23:11:00,-3.304028333333342,-2.614169166666654,-3.362924999999997,0.00010247834123822481,0.7487558333333428,0.202082638888876,-3.304028333333342,0.0
2019-06-23 23:12:00,-3.357146666666665,-2.614169166666654,-3.362924999999997,3.7277093600092136e-06,0.7487558333333428,0.20254051388887617,-3.304028333333342,0.0
2019-06-23 23:13:00,-3.3516449999999907,-2.614169166666654,-3.362924999999997,-8.707393746722231e-05,0.7487558333333428,0.2023266944444316,-3.304028333333342,0.0
2019-06-23 23:14:00,-3.3394150000000025,-2.614169166666654,-3.362924999999997,-0.00018783441704306754,0.7487558333333428,0.20259091666665383,-3.304028333333342,0.0
2019-06-23 23:15:00,-3.3650599999999997,-2.614169166666654,-3.3665912499999973,-0.0002843100970194736,0.752422083333343,0.20352684722220934,-3.304028333333342,0.0
2019-06-23 23:16:00,-3.3699583333333365,-2.614169166666654,-3.370265,-0.0003871920189580796,0.7560958333333456,0.20417290277776498,-3.304028333333342,0.0
2019-06-23 23:17:00,-3.3785033333333345,-2.614169166666654,-3.373014583333326,-0.0004883292214094596,0.7588454166666718,0.20450373611109823,-3.304028333333342,0.0
2019-06-23 23:18:00,-3.400481666666657,-2.614169166666654,-3.3788058333333346,-0.0006075335418445898,0.7646366666666804,0.2043816388888759,-3.304028333333342,0.0
2019-06-23 23:19:00,-3.3937633333333324,-2.614169166666654,-3.381085833333332,-0.0007192749741933257,0.7669166666666776,0.20489555555554256,-3.304028333333342,0.0
2019-06-23 23:20:00,-3.353493333333347,-2.614169166666654,-3.381085833333332,-0.0008223180087863029,0.7669166666666776,0.20542477777776494,-3.304028333333342,0.0
2019-06-23 23:21:00,-3.3394449999999907,-2.614169166666654,-3.381085833333332,-0.0009258775562346103,0.7669166666666776,0.20547587499998698,-3.304028333333342,0.0
2019-06-23 23:22:00,-3.329053333333327,-2.614169166666654,-3.381085833333332,-0.0010232975091824012,0.7669166666666776,0.20668701388887586,-3.304028333333342,0.0
2019-06-23 23:23:00,-3.330268333333322,-2.614169166666654,-3.381085833333332,-0.0011217997863445907,0.7669166666666776,0.20764354166665372,-3.304028333333342,0.0
2019-06-23 23:24:00,-3.302794999999996,-2.614169166666654,-3.381085833333332,-0.0012233829319149242,0.7669166666666776,0.20866098611109826,-3.302794999999996,0.0
2019-06-23 23:25:00,-3.280830000000009,-2.614169166666654,-3.381085833333332,-0.0013228340192255757,0.7669166666666776,0.2086817916666537,-3.280830000000009,0.0
2019-06-23 23:26:00,-3.2887483333333236,-2.614169166666654,-3.381085833333332,-0.0014240109211189798,0.7669166666666776,0.20877356944443146,-3.280830000000009,0.0
